harga,LB,LL,kamar_tidur,kamar_mandi,proyek,alamat,telp,email,atap,dinding,lantai,unit_subsidi,unit_komersil,longlat,kabupaten_kota
"Harga:
                    Rp 235.000.000","Luas Bangunan: 38m
                    2","Luas Lahan: 105m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Regency District 1,"JL. Dona-Dona/JL. Harimau, RT 023 RW 004, Desa Karya Indah, Kec. Tapung, Kab. Kampar - Riau no. A 5  RIAU, KAB KAMPAR,
              Tapung, Karya Indah",Telp : 081371301440,Email : jtg.tibar@gmail.com,"a. Atap  UPVC struktur baja ringan, seng, lisplang",b. Dinding  Dinding batu bata,"c. Lantai & Pondasi  Lantai menggunakan besi rakit, dan keramik homogeneus 60x60 & Pondasi tapak",Subsidi : 0 Unit,Komersil : 26 Unit,"0.459053, 101.333992","F85M+JHH Rimba Panjang, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 117m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,ANIDINI RESIDENCE,"Jl. Kepiting no. 23 RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Barat",Telp : 081277966681,Email : bakaeproduction01@gmail.com,a. Atap  Spandex mini,b. Dinding  Pasangan 1/2 Bata diplester,c. Lantai & Pondasi  keramik 40 x 40 & Tapak Beton,Subsidi : 86 Unit,Komersil : 0 Unit,"0.480618, 101.044962","F2JV+6XW Suka Mulya, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 102m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRAHA BHAYANGKARA 2,"Jalan Manggis No. 03 no. 03 RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Wonorejo",Telp : 085375757540,Email : astakaryaa13@gmail.com,a. Atap  atap deck hitam,"b. Dinding  batu bata yang di plester luar,dalam dan dicat",c. Lantai & Pondasi  keramik & batu bata/beton bertulang,Subsidi : 24 Unit,Komersil : 0 Unit,"0.527372, 101.494743","GFGV+WVX Rejosari, Pekanbaru City, Riau, Indonesia"
,,,,,NURMANIA RESIDENCE,"JL DAMAI GG PERJUANGAN no. 01 RIAU, KOTA PEKANBARU,
              Rumbai, Palas",Telp : 0811669469,Email : riauperkasasuksesindo@gmail.com,,,,Subsidi : 0 Unit,Komersil : 0 Unit,"0.573247, 101.391861","H9FR+7PX Palas, Kota Pekanbaru, Riau, Indonesia"
,,,,,THE HILL VILLAS,"Jl. Soekarno Hatta No. 8 A Kel. Air Hitam, Kec. Payung Sekaki, Kota Pekanbaru, Provinsi Riau
 no. 8 A RIAU, KOTA PEKANBARU,
              Payung Sekaki, Air Hitam",Telp : 08127526677,Email : grandmakmur88@gmail.com,,,,Subsidi : 0 Unit,Komersil : 0 Unit,"0.505982, 101.497302","GF4W+9WV Bencah Lesung, Kota Pekanbaru, Riau, Indonesia"
,,,,,Angkasa Asri 2,"Jl. Kubang Raya/Saudara, RT 003 RW 003 Kel. Tuah Madani Kec. Tampan no. 17 RIAU, KOTA PEKANBARU,
              Tampan, Tuahmadani",Telp : 082170666272,Email : pthijrahsentosamas@gmail.com,,,,Subsidi : 0 Unit,Komersil : 0 Unit,"0.130042, 102.079885","43JH+2X6 Sorek Satu, Kabupaten Pelalawan, Riau, Indonesia"
,,,,,TARAI MAKMUR,"Jalan bandung komp the platinum - harapan raya no. 01 RIAU, KOTA PEKANBARU,
              Bukit Raya, Tangkerang Selatan",Telp : 081371024168,Email : PT.TJB123@yahoo.com,,,,Subsidi : 0 Unit,Komersil : 0 Unit,"0.433684, 101.372695","C9MF+F3G Tarai Bangun, Kabupaten Kampar, Riau, Indonesia"
,,,,,Harmoni Park 2,"Jalan simpang jengkol no. 0 RIAU, KOTA PEKANBARU,
              Tenayan Raya, Bencahlesung",Telp : 081266523181,Email : ptdhia@gmail.com,,,,Subsidi : 0 Unit,Komersil : 0 Unit,"0.493256, 101.520525","FGVC+862 Bencah Lesung, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 96m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,BIMA PURI RESIDENCE 2,"Jl Tuanku Tambusai no. 34 B RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 08127582473,Email : bimafansakinandari@gmail.com,a. Atap  Rangka Atap Baja Ringan dan Genteng,"b. Dinding  Batu Bata, Finishing Aci dan Cat Luar Dalam",c. Lantai & Pondasi  Keramik & Struktur Beton Bertulang,Subsidi : 76 Unit,Komersil : 0 Unit,"0.493256, 101.520525","FGVC+862 Bencah Lesung, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 1.780.000.000","Luas Bangunan: 215m
                    2","Luas Lahan: 317m
                      2",Kamar Tidur: 3,Kamar Mandi: 3,VILLA PERMATA GRAHA INDAH H,"Komp. Villa Permata Graha Indah Blok R no. 2 RIAU, KOTA PEKANBARU,
              Payung Sekaki, Bandarraya",Telp : 082386256650,Email : permata_graha@ymail.com,"a. Atap  Rangka Baja Ringan, Atap Genteng Steel",b. Dinding  Batu bata Plester Halus,c. Lantai & Pondasi  Lantai Granit dan keramik & Borpile,Subsidi : 0 Unit,Komersil : 0 Unit,"0.524282, 101.413648","GCF7+PF6 Labuh Baru Barat, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERMATA TANGOR ASRI,"Jl. Paus  no. 7F RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Tengah",Telp : 085274433218,Email : ptpermatagrahasejahtera@gmail.com,a. Atap  Genteng Metal,b. Dinding  Batu Bata Plester Luar Dalam,c. Lantai & Pondasi  Keramik & Tapak Beton,Subsidi : 24 Unit,Komersil : 0 Unit,"0.485241, 101.529875","FGPH+3XR Bencah Lesung, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,ANDIKA MAHKOTA RIAU THP 2,"Perumahan Andika Mahkota Riau Blok A no. 21 RIAU, KAB KAMPAR,
              Tambang, Tarai Bangun",Telp : 082285391790,Email : andikaberkah01@gmail.com,a. Atap  GENTENG METAL RANGKA BAJA RINGAN,"b. Dinding  BATU BATA DIPLESTER, ACIAN + CAT",c. Lantai & Pondasi  KERAMIK 40 X 40 / SETARA & TAPAK BETON BERTULANG,Subsidi : 27 Unit,Komersil : 0 Unit,"0.433161, 101.368493","C9M9+799 Tarai Bangun, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN GRIYA RANZA RUMBAI,"JALAN SEI MINTAN / GRAHA UTAMA no. 8 RIAU, KOTA PEKANBARU,
              Bukit Raya, Simpang Tiga",Telp : +62 811-7608-910,Email : grahautama08@gmail.com,a. Atap  Spandek Bergelombang,b. Dinding  Bata Plaster,c. Lantai & Pondasi  Granit & Cor Beton Bertulang,Subsidi : 13 Unit,Komersil : 0 Unit,"0.573500, 101.482476","HFFJ+9XX Lembah Sari, Kota Pekanbaru, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Griya Rumbai Lestari,"Jl. Rajawali Sakti no. 3 RIAU, KOTA PEKANBARU,
              Tampan, Delima",Telp : 081266723535,Email : periseyepupa@gmail.com,a. Atap  Reng Kanal Seng 0.5cm,b. Dinding  Tinggi 3m,c. Lantai & Pondasi  Granit & Cor,Subsidi : 33 Unit,Komersil : 0 Unit,"0.573628, 101.477947","HFFH+F54 Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,KAMPUNG BERLIAN,"JL. TUANKU TAMBUSAI  no. 34 B RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 081276045665,Email : sumateralimestone@yahoo.com,a. Atap  GENTENG/SETARA,b. Dinding  BATU BATA MERAH di PLASTER LUAR DALAM,c. Lantai & Pondasi  DIKERAMIK 40 x 40 CM & COR SLOF BETON BERTULANG DENGAN BESI LURUS UK 10 MM,Subsidi : 4 Unit,Komersil : 0 Unit,"0.122036, 102.079630","43CH+RV6 Lubuk Terap, Pelalawan Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,BERINGIN SETIA JAYA TAHAP 2,"Jl. AIR HITAM  no. 7 RIAU, KOTA PEKANBARU,
              Payung Sekaki, Sungaisibam",Telp : 08117608087,Email : apr.properti@gmail.com,a. Atap  Genteng warna,b. Dinding  Batu Bata Di Plaster,c. Lantai & Pondasi  Keramik & Beton Slof Bertulang,Subsidi : 29 Unit,Komersil : 0 Unit,"0.510657, 101.356436","G964+7H7 Karya Indah, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Griya Tika Purwosari,"Jalan kaharuddin nasution no. 107 RIAU, KOTA PEKANBARU,
              Bukit Raya, Airdingin",Telp : 0761674573,Email : pt.pkm1975@gmail.com,a. Atap  Genteng metal,"b. Dinding  Bata diplester aci, finish cat",c. Lantai & Pondasi  Granit 60 x 60 & Tapak & Sloof Beton Bertulang,Subsidi : 110 Unit,Komersil : 0 Unit,"0.413858, 101.466576","CF78+GJW Pandau Jaya, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN HASANAH INDAH KERINCI II,"JLN.Kharuddin Nasution no. 161 RIAU, KOTA PEKANBARU,
              Bukit Raya, Simpang Tiga",Telp : 082384964601,Email : cakrawallakarya@yahoo.com,"a. Atap  Rangka Baja  Ringan,ATap Seng Spandek","b. Dinding  Pasangan Bata Merah,Plaster Tebal +Acian",c. Lantai & Pondasi  Keramik & Sloof Cor Beton Besi Bertulang,Subsidi : 51 Unit,Komersil : 0 Unit,"0.407983, 101.797425","CQ5W+5XV Pangkalan Kerinci Barat, Pelalawan Regency, Riau, Indonesia"
"Harga:
                    Rp 162.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 94.5m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRIYA BUMI HIJAU 2,"Jalan Hangutah, RT.002/RW.018 no. 2 RIAU, KAB BENGKALIS,
              Mandau, Air Jamban",Telp : 081292389787,Email : bumihijaupuripersada@gmail.com,a. Atap  Seng Gelombang Warna,b. Dinding  Pasang 1/2 Batu Bata Plasteran,c. Lantai & Pondasi  Granite Tiles 60 x 60 & Beton Bertulang,Subsidi : 7 Unit,Komersil : 0 Unit,"1.277011, 101.158517","75G5+RC2 Air Jamban, Bengkalis Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 12m
                    2","Luas Lahan: 96m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,ROYAL ANGGREK PRIMA 2,"Jl. Sudirman Rumah Makan Bina Ria Perbatasan no. 000 RIAU, KAB ROKAN HILIR,
              Bagan Sinembah, Bagan Manunggal",Telp : 085360160172,Email : wsuwantoanto@gmail.com,a. Atap  genteng,b. Dinding  batu bata,c. Lantai & Pondasi  kramik & beton bertulang,Subsidi : 1 Unit,Komersil : 0 Unit,"1.705083, 100.415162","PC48+23M Bagan Batu, Rokan Hilir Regency, Riau, Indonesia"
"Harga:
                    Rp 164.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN GRIYA PENDAWA TAHAP III,"Jl. Gading Marpoyan Blok B no. 11 RIAU, KAB KAMPAR,
              Siak Hulu, Pandau Jaya",Telp : 082180630919,Email : pendawasolusikarya@gmail.com,a. Atap  Spandek,b. Dinding  Bata Plaster,c. Lantai & Pondasi  Keramik & Cor Slop,Subsidi : 1 Unit,Komersil : 0 Unit,"0.430775, 101.458681","CFJ5+8F3 Pandau Jaya, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 112m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Bangun Tilam Nusantara,"Jalan Mahang Raya no. 0 RIAU, KAB KAMPAR,
              Tambang, Rimbo Panjang",Telp : 082374687878,Email : ptputraanasjaya@gmail.com,a. Atap  SENG METALIC,b. Dinding  BATA PLASTER,c. Lantai & Pondasi  KERAMIK & BETON,Subsidi : 24 Unit,Komersil : 0 Unit,"0.472817, 101.342572","F8FV+42G Karya Indah, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 102m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRAND FATHYAH 3,"JL. HR. Soebrantas , Gedung Graha Pena Riau Pos , Lantai 7 ,No 707 Tampan, nomor 707, RIAU, KOTA PEKANBARU, Tampan, Sidomulyo Barat no. 707 RIAU, KOTA PEKANBARU,
              Tampan, Airputih",Telp : 082172182955,Email : aidijayabersama.pt@gmail.com,"a. Atap  Baja Ringan, atap Multi Roof",b. Dinding  Dinding Batu Bata Merah DiPlester Luar Dalam,"c. Lantai & Pondasi  Lantai dan Teras di Granit 60 x 60 - Lantai Dan Dinding kamar Mandi Keramik & Pondasi Cor Setempat, Slof Beton dengan Tulang Besi 10 mm",Subsidi : 6 Unit,Komersil : 2 Unit,"0.489211, 101.347878","F8QX+M5J Karya Indah, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 98m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Green Humaira,"Jl. Uka perum green Tsabitha blok N-1 no. N-1  RIAU, KOTA PEKANBARU,
              Tampan, Simpangbaru",Telp : 081378862730,Email : malay_group@yahoo.com,a. Atap  Atap multiroof,b. Dinding  batu bata + plester,c. Lantai & Pondasi  granite 60 x 60 & bata sloof,Subsidi : 20 Unit,Komersil : 0 Unit,"0.472287, 101.343363","F8CV+W89 Karya Indah, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 135m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN ALEESHA 2,"Jl. Lingkar no. 0 RIAU, KAB INDRAGIRI HILIR,
              Tembilahan, Pekan Arba",Telp : 081276524245,Email : griyaaleeshagemilang@gmail.com,"a. Atap  RANGKA ATAP BAJA RINGAN, ATAP GENTENG METAL",b. Dinding  BATAKO DI PLASTER,c. Lantai & Pondasi  KERAMIK & CERUCOK,Subsidi : 16 Unit,Komersil : 1 Unit,"-0.287617, 103.171815","P56C+XP4 Sungai Beringin, Indragiri Hilir Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,MUTIARA KARMILA 6,"JL. KH NASUTION no. 11 RIAU, KOTA PEKANBARU,
              Bukit Raya, Simpang Tiga",Telp : 082169819181,Email : mutiarakarmilamandiri02@gmail.com,a. Atap  spandek,b. Dinding  bata,c. Lantai & Pondasi  granit & cor bertulang,Subsidi : 65 Unit,Komersil : 0 Unit,"0.412410, 101.422501","CC6F+X26 Kubang Jaya, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 160.200.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,TENAYAN GRAND HILL,"Perumahan Tenayan Grand Hill no. A 21 RIAU, KOTA PEKANBARU,
              Tenayan Raya, Sialangsakti",Telp : 081312148421,Email : 940712623216000@pu.go.id,a. Atap  multi roof,b. Dinding  batu bata plester aci,c. Lantai & Pondasi  Keramik & sloof beton,Subsidi : 5 Unit,Komersil : 0 Unit,"0.412410, 101.422501","CC6F+X26 Kubang Jaya, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 90m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN PESONA DUMAI IV,"JL. RINDU DARAT  no. NO 1 RIAU, KOTA DUMAI,
              Dumai Barat, Purnama",Telp : 082386048394,Email : ptdidohazkirypurnama@gmail.com,a. Atap  GENTENG,b. Dinding  BATU BATA PLASTER,c. Lantai & Pondasi  KERAMIK & TAPAK GAJAH,Subsidi : 6 Unit,Komersil : 0 Unit,"1.709006, 101.383622","P95M+JC5 Purnama, Dumai City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Perumahan Berkah Jaya Residence,"Jl.Arifin Ahmad _Jl.Mahintan no. B.02 RIAU, KOTA DUMAI,
              Medang Kampai, Teluk Makmur",Telp : 085355749549,Email : buarojayaproperty@gmail.com,a. Atap  Atap Genteng Metal,b. Dinding  Batu Bata + Plester+aci+cat,"c. Lantai & Pondasi  Keramik Lantai 50 X 50 & Cerocok,slof pondasi,Urungan tanah timbun",Subsidi : 5 Unit,Komersil : 0 Unit,"1.646072, 101.519300","JGW9+CPF Tlk. Makmur, Kota Dumai, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 117m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,DUTA MULIA INDAH 5,"JL. ASRAMA TRIBRATA UJUNG no. 1 RIAU, KAB BENGKALIS,
              Mandau, Pematang Pudu",Telp : 085271459501,Email : zakahabedcoindonesia@gmail.com,a. Atap  Genteng Primaroof,b. Dinding  Plaster aci dan cat,c. Lantai & Pondasi  keramik & batu bata,Subsidi : 112 Unit,Komersil : 0 Unit,"1.247633, 101.180419","65XJ+353 Pematang Pudu, Kabupaten Bengkalis, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,RIZQY MULYA REGENCY 2,"Jalan Tuanku Tambusai no. 34 B RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 081371258096,Email : tanjungberkahalmadina@gmail.com,a. Atap  RANGKA BAJA RINGAN DAN ATAP GENTENG METAL,b. Dinding  BATA PRESS + PLESTER,c. Lantai & Pondasi  GRANIT & BETON BERTULANG DAN SLOOF BETON BERTULANG,Subsidi : 96 Unit,Komersil : 0 Unit,"0.433564, 101.296844","C7MW+CPH Rimba Panjang, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 162.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 96m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,MUTIARA KARMILA 2 TAMBAHAN,"JALAN TUANKU TAMBUSAI no. 5 RIAU, KAB KAMPAR,
              Tambang, Kualu",Telp : 082169819181,Email : mutiaraanugrahmandiri@yahoo.com,a. Atap  SPANDEK,b. Dinding  BATA,c. Lantai & Pondasi  GRANIT & COR BERTULANG,Subsidi : 3 Unit,Komersil : 0 Unit,"0.433564, 101.296844","C7MW+CPH Rimba Panjang, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PRIMADONA TOWN HOUSE,"JALAN HAF JAYA no. A-7 RIAU, KAB KAMPAR,
              Tambang, Rimbo Panjang",Telp : 082287074492,Email : primadonajayapratama1@gmail.com,"a. Atap  ATAP MULTIROOF, RANGKA ATAP BAJA RINGAN, FLAFON GYPSUM",b. Dinding  BATA DI PLESTER DAN DI CAT LUAR DALAM,c. Lantai & Pondasi  LANTAI GRANIT  & BETON BERTULANG,Subsidi : 176 Unit,Komersil : 0 Unit,"0.433564, 101.296844","C7MW+CPH Rimba Panjang, Kampar Regency, Riau, Indonesia"
